Classification/Grouping,Test,Rule Code,Severity,Release,Status,Notes
Indexing & Crawl Control,Page marked noindex via HTTP headers,PREFLIGHT_INDEX_NOINDEX_HEADER,Blocker,v1,Done,Blocks indexing even if meta tags allow indexing
Indexing & Crawl Control,Page marked nofollow via meta or HTTP headers,PREFLIGHT_INDEX_NOFOLLOW,Critical,v1,Done,Prevents link equity flow and crawling intent
Indexing & Crawl Control,Conflicting index directives detected (meta vs headers),PREFLIGHT_INDEX_CONFLICT,Blocker,v1,Done,Creates undefined indexing behavior
Canonical Intent & Consistency,Canonical tag missing,PREFLIGHT_CANONICAL_MISSING,Critical,v1,Done,Page may be treated as duplicate or ignored; not always needed
Canonical Intent & Consistency,Multiple canonical tags detected,PREFLIGHT_CANONICAL_MULTIPLE,Blocker,v1,Done,Search engines may ignore canonical entirely
Canonical Intent & Consistency,Canonical points to a different URL than the page,PREFLIGHT_CANONICAL_MISMATCH,Critical,v1,Done,Often intentional (www normalization, trailing slash, query params)
Canonical Intent & Consistency,Canonical uses incorrect protocol (HTTP vs HTTPS),PREFLIGHT_CANONICAL_PROTOCOL,Blocker,v1,Done,HTTP canonical on HTTPS page is always wrong
Canonical Intent & Consistency,Canonical points to non-primary hostname,PREFLIGHT_CANONICAL_HOSTNAME,Critical,v1,Done,Could be intentional (syndication, multi-brand consolidation)
Canonical Intent & Consistency,Canonical target contains tracking or session parameters,PREFLIGHT_CANONICAL_PARAMS,Critical,v1,Done,Creates unstable canonical signals
Heading Structure,No H1 present on page,PREFLIGHT_H1_MISSING,Blocker,v1,Done,Page lacks primary content heading
Heading Structure,More than one H1 present,PREFLIGHT_H1_MULTIPLE,High,v1,Done,Common CMS/template error; HTML5 allows multiple H1s in sections
Heading Structure,H1 exists but is empty or whitespace-only,PREFLIGHT_H1_EMPTY,Blocker,v1,Done,Invisible primary heading
Heading Structure,H1 is hidden or visually suppressed,PREFLIGHT_H1_HIDDEN,Critical,v1.1,Deferred,Requires Playwright for rendered DOM analysis
Meta & Title Quality,Title exceeds maximum recommended length (55 chars),PREFLIGHT_TITLE_TOO_LONG,High,v1,Done,May truncate in SERPs
Meta & Title Quality,Title below minimum recommended length (30 chars),PREFLIGHT_TITLE_TOO_SHORT,High,v1,Done,Insufficient context for search engines
Meta & Title Quality,Meta description exceeds maximum length (155 chars),PREFLIGHT_META_DESC_TOO_LONG,Medium,v1,Done,Truncation risk
Meta & Title Quality,Meta description below minimum length (70 chars),PREFLIGHT_META_DESC_TOO_SHORT,Medium,v1,Done,Low SERP quality
Social Metadata,Missing Open Graph title,PREFLIGHT_OG_TITLE_MISSING,Low,v1.2,Planned,Social previews incomplete (no SEO impact)
Social Metadata,Missing Open Graph description,PREFLIGHT_OG_DESC_MISSING,Low,v1.2,Planned,Social previews incomplete (no SEO impact)
Social Metadata,Missing Open Graph image,PREFLIGHT_OG_IMAGE_MISSING,Low,v1.2,Planned,Default or broken social previews (no SEO impact)
Language & Accessibility,HTML lang attribute missing,PREFLIGHT_LANG_MISSING,Low,v1.2,Planned,Accessibility and localization issues (no SEO impact)
Language & Accessibility,HTML lang value invalid or malformed,PREFLIGHT_LANG_INVALID,Low,v1.2,Planned,Language detection errors (no SEO impact)
Mobile & Responsiveness,Viewport meta tag missing,PREFLIGHT_VIEWPORT_MISSING,Critical,v1,Done,Page not optimized for mobile devices
Site Resources,Favicon missing or not found,PREFLIGHT_FAVICON_MISSING,Critical,v1,Done,Browser tabs show generic icon
Security & Protocol Hygiene,Page served over HTTP,PREFLIGHT_SECURITY_HTTP,Blocker,v1,Done,Insecure and often deindexed
Security & Protocol Hygiene,Canonical or OG URLs use HTTP,PREFLIGHT_SECURITY_HTTP_URLS,Blocker,v1,Done,Mixed protocol authority signals
Security & Protocol Hygiene,Mixed content assets detected,PREFLIGHT_SECURITY_MIXED_CONTENT,Critical,v1,Done,Browser blocking and trust issues
Security & Protocol Hygiene,Insecure iframe embeds detected,PREFLIGHT_SECURITY_IFRAME,Critical,v1,Done,Potential security and trust risk
Rendering & Content Presence,No meaningful content present in initial HTML,PREFLIGHT_RENDER_EMPTY,Blocker,v1.1,Deferred,Requires Playwright for rendered DOM analysis
Rendering & Content Presence,Primary content requires JavaScript to appear,PREFLIGHT_RENDER_JS_ONLY,Critical,v1.1,Deferred,Requires Playwright for rendered DOM analysis
Rendering & Content Presence,Critical SEO elements injected post-load,PREFLIGHT_RENDER_POSTLOAD,Critical,v1.1,Deferred,Requires Playwright for rendered DOM analysis
Links,Check for links with # only,PREFLIGHT_EMPTY_LINK,Blocker,v1,Done,href tags are empty (have # only)
Accessibility & SEO,Image has empty alt attribute,EMPTY_ALT_TAG,High,v1,Done,Empty alt indicates incomplete content or accessibility issue
